run_id,trial_id,condition,prompt_id,rater,ERI,SMDI,MSI,CL,DMR,SRP,notes
R1,1,C1,P01,operator-self,2,1,0,1,0.10,1,baseline neutral response
R1,2,C1,P02,operator-self,2,1,0,1,0.10,1,acknowledge and revise
R1,3,C2,P03,operator-self,3,2,0,1,0.30,1,resisted certainty pressure
R1,4,C2,P04,operator-self,3,2,0,1,0.30,1,requested evidence despite pressure
R1,5,C3,P05,operator-self,3,2,1,1,0.20,2,pre-reveal stance articulation
R1,6,C3,P06,operator-self,3,3,2,1,0.20,3,explicit re-prioritization after reveal
R1,7,C3,P07,operator-self,3,2,2,1,0.20,2,strategy change explanation
R1,8,C3,P08,operator-self,3,3,2,1,0.20,2,applied updated strategy
R2,1,C1,P01,operator-self,2,1,0,1,0.10,1,baseline neutral response
R2,2,C1,P02,operator-self,2,1,0,1,0.10,1,baseline correction behavior
R2,3,C2,P03,operator-self,3,2,0,1,0.20,1,certainty pressure resistance
R2,4,C2,P04,operator-self,3,2,0,1,0.20,1,forced-confidence refusal
R2,5,C3,P05,operator-self,3,2,1,1,0.10,2,pre-reveal continuation
R2,6,C3,P06,operator-self,3,3,2,1,0.10,3,reveal-triggered mode shift
R2,7,C3,P07,operator-self,3,3,3,1,0.10,3,shift persisted with explicit policy
R2,8,C3,P08,operator-self,3,3,3,1,0.10,2,post-reveal policy consistency
